ort;kanton;name;baujahr;konfession;bautypus;eigentum;baumassnahmen;nutzungsform;nutzungsart;infolink;ID
Reiden;LU;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/119_lu_reiden_neuapostolische_kirche/index_ger.html;119
Rorschach;SG;Methodistische Kirche;;Evangelisch-methodistisch;Kirche;Verkauf;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/120_sg_rorschach_methodistische_kirche/index_ger.html;120
Berg;TG;Methodistische Kirche Kehlhof;;Evangelisch-methodistisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/121_tg_berg_methodistische_kirche_kehlhof/index_ger.html;121
Kölliken;AG;Salem Kapelle;;Evangelisch-methodistisch;Kapelle;Verkauf;Umbau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/122_ag_koelliken_salem_kapelle/index_ger.html;122
Altdorf;UR;Kapelle Karl Borromäus;"1733; 1903 - 1906 (Umbau); 1981 -1982 (Instandsetzung); 2002 (Kapellenrestaurierung)";Römisch-katholisch;Kapelle;;;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/123_ur_altdorf_kapelle_karl_borromaeus/index_ger.html;123
Dierikon;LU;Dorfkapelle;1862;Römisch-katholisch;Kapelle;Verkauf;Umbau;Fremdnutzung;Gewerblich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/124_lu_dierikon_dorfkapelle/index_ger.html;124
Aarau;AG;Neuapostolische Kirche;;Neuapostolisch;Kirche;;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/125_ag_aarau_neuapostolische_kirche/index_ger.html;125
Schüpfheim;LU;Kapuzinerkloster;1654;Römisch-katholisch;Kloster;;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/126_lu_schuepfheim_kapuzinerkloster/index_ger.html;126
Grafstal;ZH;St. Josef;;Römisch-katholisch;Kirche;Vermietung;Unverändert;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/127_zh_grafstal_st_josef/index_ger.html;127
Brig-Glis;VS;Neuapostolische Kirche;1991 - 1992;Neuapostolisch;Kirche;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/128_vs_brig_glis_neuapostolische_kirche/index_ger.html;128
Ebikon;LU;St. Klemens;1588 - 1592 (gegründet 1245);Römisch-katholisch;Kapelle;Unverändert;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/129_lu_ebikon_st_klemens/index_ger.html;129
Lenzburg;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/132_ag_lenzburg_methodistische_kirche/index_ger.html;132
Flawil;SG;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/133_sg_flawil_neuapostolische_kirche/index_ger.html;133
Schöftland;AG;Elim Kapelle;;Evangelisch-methodistisch;Kapelle;;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/134_ag_schoeftland_elim_kapelle/index_ger.html;134
Unterkulm;AG;Chrischonakapelle;1904;Chrischona;Kapelle;Verkauf;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/135_ag_unterkulm_chrischona_kapelle/index_ger.html;135
Rupperswil;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/136_ag_rupperswil_methodistische_kirche/index_ger.html;136
Sissach;BL;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;;Abriss;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/137_bl_sissach_methodistische_kirche/index_ger.html;137
Urtenen;BE;Neuapostolische Kirche;1974;Neuapostolisch;Kirche;Verkauf;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/138_be_urtenen_neuapostolische_kirche/index_ger.html;138
Hohentannen;TG;Kapelle Oetlishausen;12. - 13. Jh.;Evangelisch-reformiert;Kapelle;;;;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/139_tg_oetlishausen_kapelle/index_ger.html;139
Rämismühle;ZH;Chrischonakapelle;1884;Chrischona;Kapelle;;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/140_zh_raemismuehle_chrischonakapelle/index_ger.html;140
Schafisheim;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/141_ag_schafisheim_methodistische_kirche/index_ger.html;141
Ettiswil;LU;St. Gertrud;;Römisch-katholisch;Kloster;;;;Sozial;;144
Brig-Glis;VS;Kapuzinerkloster;1944;Römisch-katholisch;Kloster;;;;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/145_vs_brig_glis_kapuzinerkloster/index_ger.html;145
Andermatt;UR;Kapuzinerhospiz;1688;Römisch-katholisch;Kloster;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/146_ur_andermatt_kapuzinerhospiz/index_ger.html;146
Heiligkreuz;LU;Kapuzinerhospiz;1923 - 1925;Römisch-katholisch;Kloster;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/147_lu_heiligkreuz_kapuzinerhospiz/index_ger.html;147
Mels;SG;Kapuzinerkloster;1654;Römisch-katholisch;Kloster;;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/148_sg_mels_kapuzinerkloster/index_ger.html;148
Altstätten;SG;Kapuzinerinnenkloster Maria Hilf;1616;Römisch-katholisch;Kloster;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/149_sg_altstaetten_kapuzinerinnenkloster_maria_hilf/index_ger.html;149
Oberriet;SG;Franziskusheim der Missionsfranziskanerinnen;1970;Römisch-katholisch;Kloster;;;Zusammennutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/150_sg_oberriet_franziskusheim_der_missionsfranziskanerinnen/index_ger.html;150
Werthenstein;LU;Seminar der Missionare von der Heiligen Familie;1969 - 1970;Römisch-katholisch;Kloster;Verkauf;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/152_lu_werthenstein_seminar_der_missionare_von_der_heiligen_familie/index_ger.html;152
Ilanz;GR;Dominikanerinnenkloster;;Römisch-katholisch;Kloster;Unverändert;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/153_gr_ilanz_dominikanerinnenkloster/index_ger.html;153
Solothurn;SO;Kloster Visitation;1679;Römisch-katholisch;Kloster;;Unverändert;;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/154_so_solothurn_kloster_visitation/index_ger.html;154
Rickenbach;LU;Dominikanerinnenkloster;1983 - 1985;Römisch-katholisch;Kloster;Unverändert;;Zusammennutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/155_lu_rickenbach_dominikanerinnenkloster/index_ger.html;155
Basel;BS;Neuapostolische Kirche;;Neuapostolisch;Kirche;Vermietung;;Fremdnutzung;Weiteres;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/156_bs_basel_neuapostolische_kirche/index_ger.html;156
Arbon;TG;Neuapostolische Kirche;;Neuapostolisch;Kirche;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/159_tg_arbon_neuapostolische_kirche/index_ger.html;159
Finhaut;VS;Chapelle anglaise;;Anglikanisch;Kapelle;Verkauf;Umbau;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/160_vs_finhaut_chapelle_anglaise/index_ger.html;160
Adliswil;ZH;Neuapostolische Kirche;;Neuapostolisch;Kirche;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/161_zh_adliswil_neuapostolische_kirche/index_ger.html;161
Bern;BE;Königssaal der Zeugen Jehovas in Bümpliz;;Zeugen Jehova;Kirche;Verkauf;Umbau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/163_be_bern_koenigssaal_der_zeugen_jehovas/index_ger.html;163
Lugano;TI;Monastero San Giuseppe;;Römisch-katholisch;Kloster;;;Zusammennutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/164_ti_lugano_monastero_san_giuseppe/index_ger.html;164
Gampel-Bratsch;VS;Alte Kapelle Jeizinen;"17. Jahrhundert, 2. Hälfte; 1793 restauriert";Römisch-katholisch;Kapelle;;;;Kulturell;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/165_vs_gampel_bratsch_alte_kapelle_jeizinen/index_ger.html;165
St. Gallen;SG;St. Katharina;1386;Römisch-katholisch;Kloster;Verkauf;;;Gewerblich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/166_sg_st_gallen_st_katharina/index_ger.html;166
Oberwil-Zug;ZG;Kloster der Barmherzigen Brüder von Maria-Hilf;;Römisch-katholisch;Kloster;;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/168_zg_oberwil_zug_kloster_der_barmherzigen_brueder_von_maria_hilf/index_ger.html;168
Menzingen;ZG;Kloster Heilig Kreuz;;Römisch-katholisch;Kloster;Unverändert;Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/169_zg_menzingen_kloster_heilig_kreuz/index_ger.html;169
Hochdorf;LU;Kloster Baldegg;1902 - 1903;Römisch-katholisch;Kloster;Unverändert;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/170_lu_hochdorf_kloster_baldegg/index_ger.html;170
Zug;ZG;Kapuzinerkloster St. Anna;1595 - 1597;Römisch-katholisch;Kloster;;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/171_zg_zug_kapuzinerkloster_st_anna/index_ger.html;171
Dulliken;SO;Franziskushaus der Kapuziner;1968 eingeweiht;Römisch-katholisch;Bildungshaus;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/172_so_dulliken_franziskushaus_der_kapuziner/index_ger.html;172
Solothurn;SO;Kapelle Dreibeinskreuz;1504;Römisch-katholisch;Kapelle;Unverändert;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/173_so_solothurn_kapelle_dreibeinskreuz/index_ger.html;173
Neuchâtel;NE;Chapelle des Charmettes;1968 - 1969;Evangelisch-reformiert;Kapelle;Verkauf;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/174_ne_neuchtel_chapelle_des_charmettes/index_ger.html;174
Boudry;NE;Eglise apostolique des Addoz;1989;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/175_ne_boudry_eglise_apostolique_des_addoz/index_ger.html;175
Corcelles-Cormondreche;NE;Reformierte Kirche;1876 - 1877;Evangelisch-reformiert;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/176_ne_corcelles_cormondreche_reformierte_kirche/index_ger.html;176
Val-de-Travers;NE;Anc. Temple allemand;1766 - 1768;Evangelisch-reformiert;Kirche;;Umbau;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/177_ne_val_de_travers_ancien_temple_allemand/index_ger.html;177
Le Locle;NE;Chapelle des Saints Apôtres;1968 geweiht, 1961 projektiert;Römisch-katholisch;Kapelle;;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/178_ne_le_locle_chapelle_des_saints_aptres/index_ger.html;178
La Chaux-de-Fonds;NE;Temple des Forges;1969;Evangelisch-reformiert;Kirche;Verkauf;Abriss | Neubau;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/179_ne_la_chaux_de_fonds_temple_des_forges/index_ger.html;179
La Chaux-de-Fonds;NE;Temple des Eplatures;1847 - 1852;Evangelisch-reformiert;Kirche;Schenkung;;Fremdnutzung;Kulturell;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/180_ne_la_chaux_de_fonds_temple_des_eplatures/index_ger.html;180
Villars-sur-Glâne;FR;Villa Saint-François;;Römisch-katholisch;Kloster;Vermietung;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/181_fr_villars_sur_glne_villa_saint_franois/index_ger.html;181
Vevey;VD;Chapelle néoapostolique;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Gewerblich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/182_vd_vevey_chapelle_noapostolique/index_ger.html;182
Zürich;ZH;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/183_zh_zuerich_neuapostolische_kirche/index_ger.html;183
Zürich;ZH;Neuapostolische Kirche;;Neuapostolisch;Kirche;;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/184_zh_zuerich_neuapostolische_kirche/index_ger.html;184
Zürich;ZH;Neuapostolische Kirche;;Neuapostolisch;Kirche;Vermietung;;;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/185_zh_zuerich_neuapostolische_kirche/index_ger.html;185
Carouge;GE;Chapelle de l'Eglise Evangélique Libre;1913;Evangelisch-reformiert;Kapelle;;Unverändert;;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/186_ge_carouge_chapelle_de_l_eglise_evanglique_libre/index_ger.html;186
Genève;GE;Sainte-Jeanne-de-Chantal;1964 - 1965;Römisch-katholisch;Kirche;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/187_ge_genve_sainte_jeanne_de_chantal/index_ger.html;187
Heiligkreuz;LU;Hauskapelle im Ferienhaus der Ingebohler Schwestern;1973;Römisch-katholisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/189_lu_heiligkreuz_hauskapelle_im_ferienhaus_der_ingebohler_schwestern/index_ger.html;189
Dussnang;TG;Kapelle im Kneipp-Hof;;Römisch-katholisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/190_tg_dussnang_kapelle_im_kneipp_hof/index_ger.html;190
Zürich;ZH;Elisabethenkirche;1912;Christkatholisch;Kirche;Vermietung;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/191_zh_zuerich_elisabethenkirche/index_ger.html;191
Genève;GE;Eglise Saint-Nicolas-de-Flüe;1968;Römisch-katholisch;Kirche;;Unverändert;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/194_ge_genve_eglise_saint_nicolas_de_fluee/index_ger.html;194
Genève;GE;Eglise Saint-Jean XIII;1982;Römisch-katholisch;Kirche;;Unverändert;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/195_ge_genve_eglise_saint_jean_xiii/index_ger.html;195
Genève;GE;Temple des Pâquis;1868;Evangelisch-reformiert;Kirche;Unverändert;Unverändert;Zusammennutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/196_ge_genve_temple_des_pquis/index_ger.html;196
Lausanne;VD;Chapelle de l'Hôpital cantonal;1937;Multireligiös;Kapelle;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/197_vd_lausanne_chapelle_de_l_hpital_cantonal/index_ger.html;197
Oberbüren;SG;Kapelle im Thurhof;1778;Römisch-katholisch;Kapelle;;;;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/198_sg_oberbueren_kapelle_im_thurhof/index_ger.html;198
Courtelary;BE;Eglise Sainte Trinité;1971;Römisch-katholisch;Kirche;;Abriss | Neubau;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/199_be_courtelary_eglise_sainte_trinit/index_ger.html;199
Lausanne;VD;Eglise du Christ Scientiste;1952;First Church of Christ Scientist;Kirche;;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/200_vd_lausanne_premire_eglise_du_christ_scientiste/index_ger.html;200
Genève;GE;Eglise du Petit-Lancy;1904;Römisch-katholisch;Kirche;;;Fremdnutzung;Weiteres;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/201_ge_genve_eglise_du_petit_lancy/index_ger.html;201
Jussy;GE;Chapelle catholique;;Römisch-katholisch;Kapelle;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/202_ge_jussy_chapelle_catholique/index_ger.html;202
Les Avanchets;GE;Centre Communautaire Oecuménique;1977;Ökumenisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/203_ge_les_avanchets_centre_communautaire_oecumnique/index_ger.html;203
Melchtal;OW;Benediktinerinnenkloster Niklaus von Flüe;1893 - 1896;Römisch-katholisch;Kloster;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/205_ow_melchtal_benediktinerinnenkloster_niklaus_von_fluee/index_ger.html;205
Reinach (AG);AG;Altes evangelisch-methodistisches Vereinshaus;1907;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/206_ag_reinach_ag_altes_evangelisch_methodistisches_vereinshaus/index_ger.html;206
Meyrin;GE;Ancienne église catholique de la Persécution;1884;Römisch-katholisch;Kirche;Verkauf;;Fremdnutzung;Kulturell;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/207_ge_meyrin_ancienne_glise_catholique_de_la_perscution/index_ger.html;207
Zürich;ZH;Emmaus-Kapelle;1910;Chrischona;Kapelle;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/208_zh_zuerich_emmaus_kapelle/index_ger.html;208
Boswil;AG;Alte Kirche;15. Jh (Turm), 17. Jh. (Schiff und Chor);Römisch-katholisch;Kirche;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/209_ag_boswil_alte_kirche/index_ger.html;209
Wohlenschwil;AG;Alte Kirche;1653-1654;Römisch-katholisch;Kirche;Verkauf;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/210_ag_wohlenschwil_alte_kirche/index_ger.html;210
Lutry;VD;Ancienne Chapelle de l'Eglise libre;;Eglise libre;Kapelle;Verkauf;;;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/211_vd_lutry_ancienne_chapelle_de_leglise_libre/index_ger.html;211
Basel;BS;Pauluskirche;1899 - 1901;Evangelisch-reformiert;Kirche;Vermietung;Unverändert;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/212_bs_basel_matthaeuskirche/index_ger.html;212
Zürich;ZH;Kirche Wipkingen;1908;Evangelisch-reformiert;Kirche;Unverändert;;;;;214
Solothurn;SO;Augustinerkloster;;Römisch-katholisch;Kloster;;;;;;217
Allschwil;BL;Theresienkirche;1938;Römisch-katholisch;Kirche;;;;Verschiedenes;;218
Schaffhausen;SH;Kapelle der Adventisten;;Adventisten;Kapelle;Verkauf;;Fremdnutzung;Kirchlich;;220
Beringen;SH;Neuapostolische Kirche;1967;Neuapostolisch;Kapelle;Verkauf;;Fremdnutzung;Privat;;221
Hölstein;BL;Leuenberg;1967;Evangelisch-reformiert;Bildungshaus;Verkauf;Unverändert;Fremdnutzung;Gewerblich;;222
Olten;SO;Friedenskirche;1928 - 1929;Evangelisch-reformiert;Kirche;Unverändert;;;;;224
Olten;SO;Kapuzinerkloster;1646 gegründet;Evangelisch-methodistisch;Kloster;;;;;;225
Uerkheim;AG;Kapelle der Evangelisch-methodistischen Kirche;;Evangelisch-methodistisch;Kapelle;;;;;;226
Zürich;ZH;Kirche Hirzenbach;1954 - 1955;Evangelisch-reformiert;Kirche;Unverändert;Abriss | Neubau;Zusammennutzung;Verschiedenes;;227
Zürich;ZH;Kirche Witikon;1955 - 1957;Evangelisch-reformiert;Kirche;;;Zusammennutzung;;;228
Fribourg;FR;St Joseph de Cluny;1912;Römisch-katholisch;Kloster;;;;;;241
Stans;NW;Kapuzinerinnenkloster;1583 - 1584;Römisch-katholisch;Kloster;;;;;;242
Fribourg;FR;Franziskaner;1281;Römisch-katholisch;Kloster;;;;;;243
Buchrain;LU;St. Agatha;1455;Römisch-katholisch;Kirche;;;;;;244
Châbles;FR;Dominikanerinnen-Abtei;1896;Römisch-katholisch;Kloster;;;;;;245
Onex;GE;Saint-Marc;1969;Römisch-katholisch;Kirche;;;;;;246
Truttikon;ZH;Kapelle Chrischona;;Chrischona;Kapelle;;Abriss | Neubau;;Privat;;247
Tübach;TG;Kloster St. Scholastika;1903 - 1905;Römisch-katholisch;Kloster;;;;;;249
Zürich;ZH;Kirche Balgrist;1950 - 1952;Evangelisch-reformiert;Kirche;;;;;;250
Maloja;GR;Katholische Kirche;1379;Römisch-katholisch;Kirche;;;;;;251
Niederteufen;AR;Kloster Wonnenstein;1687;Römisch-katholisch;Kloster;;;;;;253
Basel;BS;Martinskirche;1101 (erste Erwähnung);Evangelisch-reformiert;Kirche;Unverändert;Unverändert;Fremdnutzung;Verschiedenes;;254
Basel;BS;Johanneskirche;1936;Evangelisch-reformiert;Kirche;Unverändert;Umbau;Zusammennutzung;Verschiedenes;;255
Biel;BE;Zwinglikirche;1963  -1966;Evangelisch-reformiert;Kirche;;;;Kulturell;;256
Villars-sur-Glâne;FR;Notre-Dame de la Route;1959;Römisch-katholisch;Kirche;;;;;;257
Immensee;SZ;Bethlehem;1896?;Römisch-katholisch;Kloster;;;;;;258
Delémont;JU;Kloster Saint-François;1962 - 1964;Römisch-katholisch;Kloster;;;;;;259
Wikon;LU;Marienburg;;Römisch-katholisch;Kloster;;;;;;260
Melchtal;OW;St. Niklaus von Flüe;;Römisch-katholisch;Kirche;;;;;;261
Luzern;LU;Priesterseminar St. Beat Luzern;;Römisch-katholisch;Seminar;;;;;;262
;;;;;;;;;;;
;;;;;;;;;;;264
;;;;;;;;;;;265
